Title,AuthorIDs,AuthorNames,Cited_url
Contention based routing in mobile ad hoc networks with multiple copies,,,"/scholar?cites=17884488004532172954&as_sdt=2005&sciodt=0,5&hl=en"
A cross-layer based data dissemination algorithm for ieee 802.15. 6 wbans,CEHDgt0AAAAJ;3iKEaHwAAAAJ;V6_5wpQAAAAJ,HB Elhadj;S Boudjit;LC Fourati,"/scholar?cites=5073537457034894446&as_sdt=2005&sciodt=0,5&hl=en"
Hug: Human gathering point based routing for opportunistic networks,GO4IiaQAAAAJ;A-vcjvUAAAAJ,P Yuan;H Ma,"/scholar?cites=5051075276704610357&as_sdt=2005&sciodt=0,5&hl=en"
Comparing delay tolerant network routing protocols for optimizing L-copies in spray and wait routing for minimum delay,jXLC2ecAAAAJ;Tj0NzVgAAAAJ,A Mehto;M Chawla,"/scholar?cites=12561173224866496899&as_sdt=2005&sciodt=0,5&hl=en"
Performance modeling of data transmission in maritime delay-tolerant-networks,7pT4YiUAAAAJ,G Feng,"/scholar?cites=6977779791901088397&as_sdt=2005&sciodt=0,5&hl=en"
Choosing the objective of optimal routing protocols in delay tolerant networks,V4FRuiMAAAAJ;ttUIYysAAAAJ,T Abdelkader;A Nayak,"/scholar?cites=8965564847761849555&as_sdt=2005&sciodt=0,5&hl=en"
Latency analysis for thrown box based message dissemination,,,"/scholar?cites=9389260953376216306&as_sdt=2005&sciodt=0,5&hl=en"
Performance analysis of hop‐limited epidemic routing in DTN with limited forwarding times,,,"/scholar?cites=8134183153849796627&as_sdt=2005&sciodt=0,5&hl=en"
Performance of efficient routing protocol in delay tolerant network: A comparative survey,wI2T_xwAAAAJ;x_0OEv4AAAAJ,N Mehta;M Shah,"/scholar?cites=950901350111091443&as_sdt=2005&sciodt=0,5&hl=en"
Coordinating replication decisions in multi-copy routing for opportunistic networks,7fUW2b4AAAAJ;R6Ldg5UAAAAJ,N Papanikos;E Papapetrou,"/scholar?cites=10258550631218845707&as_sdt=2005&sciodt=0,5&hl=en"
Contention based routing in mobile ad hoc networks with multiple copies,,,"/scholar?cites=17884488004532172954&as_sdt=2005&sciodt=0,5&hl=en"
A cross-layer based data dissemination algorithm for ieee 802.15. 6 wbans,CEHDgt0AAAAJ;3iKEaHwAAAAJ;V6_5wpQAAAAJ,HB Elhadj;S Boudjit;LC Fourati,"/scholar?cites=5073537457034894446&as_sdt=2005&sciodt=0,5&hl=en"
Hug: Human gathering point based routing for opportunistic networks,GO4IiaQAAAAJ;A-vcjvUAAAAJ,P Yuan;H Ma,"/scholar?cites=5051075276704610357&as_sdt=2005&sciodt=0,5&hl=en"
Comparing delay tolerant network routing protocols for optimizing L-copies in spray and wait routing for minimum delay,jXLC2ecAAAAJ;Tj0NzVgAAAAJ,A Mehto;M Chawla,"/scholar?cites=12561173224866496899&as_sdt=2005&sciodt=0,5&hl=en"
Performance modeling of data transmission in maritime delay-tolerant-networks,7pT4YiUAAAAJ,G Feng,"/scholar?cites=6977779791901088397&as_sdt=2005&sciodt=0,5&hl=en"
Choosing the objective of optimal routing protocols in delay tolerant networks,V4FRuiMAAAAJ;ttUIYysAAAAJ,T Abdelkader;A Nayak,"/scholar?cites=8965564847761849555&as_sdt=2005&sciodt=0,5&hl=en"
Latency analysis for thrown box based message dissemination,,,"/scholar?cites=9389260953376216306&as_sdt=2005&sciodt=0,5&hl=en"
Performance analysis of hop‐limited epidemic routing in DTN with limited forwarding times,,,"/scholar?cites=8134183153849796627&as_sdt=2005&sciodt=0,5&hl=en"
Performance of efficient routing protocol in delay tolerant network: A comparative survey,wI2T_xwAAAAJ;x_0OEv4AAAAJ,N Mehta;M Shah,"/scholar?cites=950901350111091443&as_sdt=2005&sciodt=0,5&hl=en"
Coordinating replication decisions in multi-copy routing for opportunistic networks,7fUW2b4AAAAJ;R6Ldg5UAAAAJ,N Papanikos;E Papapetrou,"/scholar?cites=10258550631218845707&as_sdt=2005&sciodt=0,5&hl=en"
Contention based routing in mobile ad hoc networks with multiple copies,,,"/scholar?cites=17884488004532172954&as_sdt=2005&sciodt=0,5&hl=en"
A cross-layer based data dissemination algorithm for ieee 802.15. 6 wbans,CEHDgt0AAAAJ;3iKEaHwAAAAJ;V6_5wpQAAAAJ,HB Elhadj;S Boudjit;LC Fourati,"/scholar?cites=5073537457034894446&as_sdt=2005&sciodt=0,5&hl=en"
Hug: Human gathering point based routing for opportunistic networks,GO4IiaQAAAAJ;A-vcjvUAAAAJ,P Yuan;H Ma,"/scholar?cites=5051075276704610357&as_sdt=2005&sciodt=0,5&hl=en"
Comparing delay tolerant network routing protocols for optimizing L-copies in spray and wait routing for minimum delay,jXLC2ecAAAAJ;Tj0NzVgAAAAJ,A Mehto;M Chawla,"/scholar?cites=12561173224866496899&as_sdt=2005&sciodt=0,5&hl=en"
Performance modeling of data transmission in maritime delay-tolerant-networks,7pT4YiUAAAAJ,G Feng,"/scholar?cites=6977779791901088397&as_sdt=2005&sciodt=0,5&hl=en"
Choosing the objective of optimal routing protocols in delay tolerant networks,V4FRuiMAAAAJ;ttUIYysAAAAJ,T Abdelkader;A Nayak,"/scholar?cites=8965564847761849555&as_sdt=2005&sciodt=0,5&hl=en"
Competition-based participant recruitment for delay-sensitive crowdsourcing applications in D2D networks,4F60wpoAAAAJ;rFLksrwAAAAJ,T Luo;H Wu,"/scholar?cites=4338134742039551235&as_sdt=2005&sciodt=0,5&hl=en"
Integrating forwarding and replication in dtn routing: A social network perspective,kmgzPeQAAAAJ,Y Li,"/scholar?cites=17098544975841220661&as_sdt=2005&sciodt=0,5&hl=en"
Backpressure delay enhancement for encounter-based mobile networks while sustaining throughput optimality,FBMhclgAAAAJ,KL Wright,"/scholar?cites=2450203415337606443&as_sdt=2005&sciodt=0,5&hl=en"
A new packet dropping policy in delay tolerant network,,,"/scholar?cites=8565691990618474240&as_sdt=2005&sciodt=0,5&hl=en"
A novel routing scheme for resource-constraint opportunistic networks: A cooperative multiplayer bargaining game approach,TmVGuVUAAAAJ,X Zhong,"/scholar?cites=17744894906103490077&as_sdt=2005&sciodt=0,5&hl=en"
Primate-inspired adaptive routing in intermittently connected mobile communication systems,LNBHLsAAAAAJ;lts9UIkAAAAJ;djHDRaQAAAAJ,Q Sun;F Hu;Y Wu,"/scholar?cites=16934459484092251503&as_sdt=2005&sciodt=0,5&hl=en"
Sharing spray and wait routing algorithm in opportunistic networks,l_m8QPkAAAAJ;aIiC_6UAAAAJ;MI_ZxPwAAAAJ,N Derakhshanfard;M Sabaei;AM Rahmani,"/scholar?cites=7172148680701096928&as_sdt=2005&sciodt=0,5&hl=en"
A data dissemination protocol for urban vehicular ad hoc networks with extreme traffic conditions,-ohscnEAAAAJ;EwdlgywAAAAJ,G Maia;ALL Aquino,"/scholar?cites=17002643233115594485&as_sdt=2005&sciodt=0,5&hl=en"
Forwarding redundancy in opportunistic mobile networks: Investigation; elimination and exploitation,jPKDQwgAAAAJ;bRTsPsEAAAAJ;zD5ZfacAAAAJ,W Gao;Q Li;G Cao,"/scholar?cites=9393722061074705135&as_sdt=2005&sciodt=0,5&hl=en"
Impact of source counter on DTN routing control under resource constraints,04rL02AAAAAJ;elPaEWUAAAAJ,X Zhang;H Zhang,"/scholar?cites=2028277135152444377&as_sdt=2005&sciodt=0,5&hl=en"
Capacity-aware routing using throw-boxes,,,"/scholar?cites=291885466515433000&as_sdt=2005&sciodt=0,5&hl=en"
User context-based data delivery in opportunistic smartphone networks,AURRRDIAAAAJ;5APW4zDlaesC;B3CtxsAAAAAJ,E Talipov;Y Chon;H Cha,"/scholar?cites=6092192354222797114&as_sdt=2005&sciodt=0,5&hl=en"
Performance modeling of routing in delay-tolerant networks with node heterogeneity,kBdJTUsAAAAJ;PPRmuVYAAAAJ,VKC Manam;V Mahendran,"/scholar?cites=1222742624536444355&as_sdt=2005&sciodt=0,5&hl=en"
The stability region of the delay in Pareto opportunistic networks,rCrzxbsAAAAJ;KniFTD0AAAAJ;sesKnygAAAAJ,C Boldrini;M Conti;A Passarella,"/scholar?cites=13529984030588858539&as_sdt=2005&sciodt=0,5&hl=en"
Social-aware forwarding improves routing performance in pocket switched networks,xITAf6EAAAAJ,A Marchetti-Spaccamela,"/scholar?cites=9116975245279324690&as_sdt=2005&sciodt=0,5&hl=en"
Data fusion prolongs the lifetime of mobile sensing networks,GO4IiaQAAAAJ,P Yuan,"/scholar?cites=2984788606997369792&as_sdt=2005&sciodt=0,5&hl=en"
A trajectory-driven opportunistic routing protocol for VCPS,kSxzIsIAAAAJ;w7z0ykwAAAAJ;TX_CkX0AAAAJ,O Kaiwartya;N Aslam;C Han,"/scholar?cites=7091380857953250284&as_sdt=2005&sciodt=0,5&hl=en"
Quality of service in delay tolerant networks: A survey,6qXmssIAAAAJ;M-QltCkAAAAJ;mRoWTHoAAAAJ,A Roy;T Acharya;S DasBit,"/scholar?cites=14591941152019317479&as_sdt=2005&sciodt=0,5&hl=en"
[PDF] [PDF]   Opportunistic routing algorithms in delay tolerant networks,wvvIyOwAAAAJ,E Bulut,"/scholar?cites=6041181270294441078&as_sdt=2005&sciodt=0,5&hl=en"
A self-regulating protocol for efficient routing in mobile delay tolerant networks,QBpJIDgAAAAJ,SB Mokhtar,"/scholar?cites=11160063911764380568&as_sdt=2005&sciodt=0,5&hl=en"
Evaluation of routing schemes in opportunistic networks considering energy consumption,gO5qMqgAAAAJ;KghLX_4AAAAJ,A Socievole;F De Rango,"/scholar?cites=9772306119714370417&as_sdt=2005&sciodt=0,5&hl=en"
PRI: A Practical Reputation-based Incentive Scheme for Delay Tolerant Networks.,,,"/scholar?cites=15980943859601661914&as_sdt=2005&sciodt=0,5&hl=en"
[PDF] [PDF]   Community-home-based multi-copy routing in mobile social networks,BVlfmXMAAAAJ,J Wu,"/scholar?cites=10150088274547013263&as_sdt=2005&sciodt=0,5&hl=en"
Analysing social behaviour and message dissemination in human based delay tolerant network,XXCHmeQAAAAJ;dzrHTMcAAAAJ,S Batabyal;P Bhaumik,"/scholar?cites=958361814558031924&as_sdt=2005&sciodt=0,5&hl=en"
[PDF] [PDF]   Connection status aware cost efficient message transmission mechanism in opportunistic networks,NToLSTUAAAAJ,DP Wu,"/scholar?cites=18115934019615312834&as_sdt=2005&sciodt=0,5&hl=en"
The social relationship based adaptive multi-spray-and-wait routing algorithm for disruption tolerant network,I1NjHD8AAAAJ,I You,"/scholar?cites=292283743771994374&as_sdt=2005&sciodt=0,5&hl=en"
Coupon: Cooperatively building sensing maps in mobile opportunistic networks,jZghsyQAAAAJ;A-vcjvUAAAAJ;jnBRjhcAAAAJ,D Zhao;H Ma;S Tang,"/scholar?cites=13202146379861581440&as_sdt=2005&sciodt=0,5&hl=en"
End-to-end delay bound for prioritized data flows in disruption-tolerant networks,893Ua2wAAAAJ,MYS Uddin,"/scholar?cites=14924287974772849204&as_sdt=2005&sciodt=0,5&hl=en"
Optimal and achievable cost/delay tradeoffs in delay-tolerant networks,EBTYIicAAAAJ;yGC0VhwAAAAJ;LyiVPKEAAAAJ,AG Tasiopoulos;C Tsiaras;S Toumpis,"/scholar?cites=294389768631757122&as_sdt=2005&sciodt=0,5&hl=en"
[HTML] [HTML]   Delay tolerant firework routing: a geographic routing protocol for wireless delay tolerant networks,LyiVPKEAAAAJ,S Toumpis,"/scholar?cites=16533233383572540545&as_sdt=2005&sciodt=0,5&hl=en"
How much off-center are centrality metrics for routing in opportunistic networks,,,"/scholar?cites=18237497855706896239&as_sdt=2005&sciodt=0,5&hl=en"
Utility-based gateway deployment for supporting multi-domain dtns,g9yS74gAAAAJ;M7edePUAAAAJ;IpG80kwAAAAJ,T He;KW Lee;KK Leung,"/scholar?cites=8659401244564362014&as_sdt=2005&sciodt=0,5&hl=en"
CRSG: A congestion control routing algorithm for security defense based on social psychology and game theory in DTN,,,"/scholar?cites=14536868538319326697&as_sdt=2005&sciodt=0,5&hl=en"
Energy-aware spray and wait routing in mobile opportunistic sensor networks,8jVZOREAAAAJ;wbyWuWEAAAAJ,S Gao;H Zhang,"/scholar?cites=571158325392553944&as_sdt=2005&sciodt=0,5&hl=en"
[HTML] [HTML]   GDTN: Genome-based delay tolerant network formation in heterogeneous 5G using inter-UA collaboration,I1NjHD8AAAAJ;g2B3SKAAAAAJ;CPqBDqUAAAAJ;rRBNI6AAAAAJ,I You;V Sharma;M Atiquzzaman;KKR Choo,"/scholar?cites=8266533289923501107&as_sdt=2005&sciodt=0,5&hl=en"
Routing algorithm based on ant colony optimization for DTN congestion control,,,"/scholar?cites=8917981834767773697&as_sdt=2005&sciodt=0,5&hl=en"
Joint cross-layer optimised routing and dynamic power allocation in deep space information networks under predictable contacts,iS_2K5oAAAAJ,L Zhang,"/scholar?cites=5967814618047889962&as_sdt=2005&sciodt=0,5&hl=en"
A secure social-aware incentive scheme for delay tolerant networks,PVHo2-YAAAAJ,C Lin,"/scholar?cites=9271754078556522701&as_sdt=2005&sciodt=0,5&hl=en"
An introduction to delay and disruption-tolerant networks (DTNs),97WutEsAAAAJ;a4GD8aoAAAAJ,J Rodrigues;VNGJ Soares,"/scholar?cites=10620312886064816369&as_sdt=2005&sciodt=0,5&hl=en"
Social structure based routing of intermittently connected network using contact information,CUO0vDcAAAAJ,K Nahrstedt,"/scholar?cites=9626215453879060274&as_sdt=2005&sciodt=0,5&hl=en"
An empirical review on the spray and wait based algorithms for controlled replication forwarding in delay tolerant networks,FhVmI_IAAAAJ;8aOPvxwAAAAJ;a4GD8aoAAAAJ,N Kishore;S Jain;VNGJ Soares,"/scholar?cites=7126672864784587854&as_sdt=2005&sciodt=0,5&hl=en"
Buffer scheme optimization of epidemic routing in delay tolerant networks,9ckkCDMAAAAJ;epqnljMAAAAJ,J Shen;X Sun,"/scholar?cites=15272614319332174240&as_sdt=2005&sciodt=0,5&hl=en"
An optimal relaying scheme for delay-tolerant networks with heterogeneous mobile nodes,kmgzPeQAAAAJ;jhyC8TsAAAAJ;yJKEaLAAAAAJ;ZikGt_kAAAAJ,Y Li;Z Wang;D Jin;S Chen,"/scholar?cites=16876041175663802058&as_sdt=2005&sciodt=0,5&hl=en"
Pervasive intelligent routing in content centric delay tolerant networks,y7iUYLkAAAAJ;SjijVVkAAAAJ,AD Nguyen;V Ramiro,"/scholar?cites=13527711176173117944&as_sdt=2005&sciodt=0,5&hl=en"
[PDF] [PDF]   Delay Tolerant Routing Protocol Modeling for Low Power Wearable Wireless Sensor Networks.,NjUiHAMAAAAJ,SK Biswas,"/scholar?cites=13326205797764628162&as_sdt=2005&sciodt=0,5&hl=en"
Social-aware computing based congestion control in delay tolerant networks,PsRe_NYAAAAJ,K Wang,"/scholar?cites=9757201009805301351&as_sdt=2005&sciodt=0,5&hl=en"
A mobility vector based routing algorithm for delay tolerant networks using history geographic information,X0hu8rIAAAAJ;oiPgnf0AAAAJ,Z Sun;N Ahmad,"/scholar?cites=1140896224909686780&as_sdt=2005&sciodt=0,5&hl=en"
A general model for store-carry-forward routing schemes with multicast in delay tolerant networks,eBl025kAAAAJ;phdy0Y0AAAAJ,J Liu;H Nishiyama,"/scholar?cites=9865255120078115709&as_sdt=2005&sciodt=0,5&hl=en"
Optimal opportunistic forwarding with energy constraint for DTN,10HcE2QAAAAJ;kmgzPeQAAAAJ,Y Jiang;Y Li,"/scholar?cites=9837412883124987530&as_sdt=2005&sciodt=0,5&hl=en"
Multicast capacity scaling laws for multihop cognitive networks,JURtNb0AAAAJ;jnBRjhcAAAAJ;K1H2ieUAAAAJ,C Wang;S Tang;XY Li,"/scholar?cites=14342986567810844186&as_sdt=2005&sciodt=0,5&hl=en"
Performance modeling of DTN routing with heterogeneous and selfish nodes,kBdJTUsAAAAJ;PPRmuVYAAAAJ;VjJFBjcAAAAJ,VKC Manam;V Mahendran;CSR Murthy,"/scholar?cites=2856177353106707157&as_sdt=2005&sciodt=0,5&hl=en"
[PDF] [PDF]   Evaluation of opportunistic routing algorithms on opportunistic mobile sensor networks with infrastructure assistance,Zgwx0zAAAAAJ;TB4RMh0AAAAJ;tthSxV0AAAAJ,VD Le;H Scholten;P Havinga,"/scholar?cites=8753541465038904626&as_sdt=2005&sciodt=0,5&hl=en"
A secure and efficient RSU‐aided bundle forwarding protocol for vehicular delay tolerant networks,om3xUIcAAAAJ;TjJHv0cAAAAJ,X Lin;HH Chen,"/scholar?cites=5619198646360302405&as_sdt=2005&sciodt=0,5&hl=en"
CACC: A context-aware congestion control approach in smartphone networks,Ib-sizwAAAAJ,S Guo,"/scholar?cites=15219014499361977569&as_sdt=2005&sciodt=0,5&hl=en"
[PDF] [PDF]   Study of VDTN Routing Protocols Performances in Sparse and Dense Traffic in the Presence of Relay Nodes.,rC1vnbkAAAAJ;CcSGch0AAAAJ,M Benamar;N Benamar,"/scholar?cites=2825606021622454714&as_sdt=2005&sciodt=0,5&hl=en"
Opportunistic routing,WVLr6NYAAAAJ;aHVGrC4AAAAJ,T Spyropoulos;A Picu,"/scholar?cites=12540339978349734482&as_sdt=2005&sciodt=0,5&hl=en"
Cooperative data offload in opportunistic networks: From mobile devices to infrastructure,k3IFtTYAAAAJ;t-FPWNgAAAAJ,Z Lu;T La Porta,"/scholar?cites=5671467579659763464&as_sdt=2005&sciodt=0,5&hl=en"
A social node model for realising information dissemination strategies in delay tolerant networks,m0tkD4YAAAAJ;iqFnyEoAAAAJ;yh51PU0AAAAJ,S Bastani;B Landfeldt;C Rohner,"/scholar?cites=624065006054176127&as_sdt=2005&sciodt=0,5&hl=en"
Opportunistic virtual backbone construction in intermittently connected mobile ad hoc networks,8RYYICoAAAAJ,A Jamalipour,"/scholar?cites=17442495903092487768&as_sdt=2005&sciodt=0,5&hl=en"
[BOOK] [B]   Studies on urban vehicular ad-hoc networks,HkaEi3MAAAAJ;cFW1n8YAAAAJ,H Zhu;M Li,"/scholar?cites=1606709800733435615&as_sdt=2005&sciodt=0,5&hl=en"
Network coding for overhead reduction in delay tolerant networks,E78F8R0AAAAJ,C Vlachou,"/scholar?cites=7834579458470396926&as_sdt=2005&sciodt=0,5&hl=en"
SARM: a congestion control algorithm for DTN,,,"/scholar?cites=17597402368470546563&as_sdt=2005&sciodt=0,5&hl=en"
Optimizing message delivery in mobile-opportunistic networks,DZqt5EMAAAAJ;EySbr8sAAAAJ,MA Islam;M Waldvogel,"/scholar?cites=12434937969184708088&as_sdt=2005&sciodt=0,5&hl=en"
Geographic routing in intermittently-connected mobile ad hoc networks: Algorithms and performance models,,,"/scholar?cites=5898740525000459406&as_sdt=2005&sciodt=0,5&hl=en"
[PDF] [PDF]   Efficient routing for intermittently connected mobile ad hoc network,6DQd9jgAAAAJ;OM728ngAAAAJ,RC Suganthe;P Balasubramanie,"/scholar?cites=16544143261349067039&as_sdt=2005&sciodt=0,5&hl=en"
On secure multi-copy based routing in compromised delay tolerant networks,wvvIyOwAAAAJ;2OJOZTUAAAAJ,E Bulut;BK Szymanski,"/scholar?cites=10105549189504393300&as_sdt=2005&sciodt=0,5&hl=en"
Restricted epidemic routing in multi-community delay tolerant networks,KZF7nhEAAAAJ,Q Wang,"/scholar?cites=14453564013170931461&as_sdt=2005&sciodt=0,5&hl=en"
Enabling wireless cooperation in delay tolerant networks,pYOg6W0AAAAJ;0ydaYHgAAAAJ,VG Rolla;M Curado,"/scholar?cites=11494593419229985365&as_sdt=2005&sciodt=0,5&hl=en"
[PDF] [PDF]   Optimizing content dissemination in heterogeneous vehicular networks,JHJozAYAAAAJ;ZDRy6_EAAAAJ,B Krishnamachari;F Bai,"/scholar?cites=15627222152756205320&as_sdt=2005&sciodt=0,5&hl=en"
Rena: region-based routing in intermittently connected mobile network,ZHS53jkAAAAJ;dJgRKmwAAAAJ,J Liu;Y Fang,"/scholar?cites=16365712247453929193&as_sdt=2005&sciodt=0,5&hl=en"
Infrastructure mode based opportunistic networks on android devices,w4E_qSwAAAAJ;_1NZanMAAAAJ,A Ippisch;K Graffi,"/scholar?cites=13087705959229287438&as_sdt=2005&sciodt=0,5&hl=en"
An efficient routing protocol based on consecutive forwarding prediction in delay tolerant networks,Z-UCpSoAAAAJ;Flmif3gAAAAJ;0p4lNzMAAAAJ,K Xing;W Wu;L Ding,"/scholar?cites=16016101531805203922&as_sdt=2005&sciodt=0,5&hl=en"
4PR: Privacy preserving routing in mobile delay tolerant networks,QBpJIDgAAAAJ,SB Mokhtar,"/scholar?cites=10005109761227321676&as_sdt=2005&sciodt=0,5&hl=en"
Distance-based energy-efficient opportunistic broadcast forwarding in mobile delay-tolerant networks,f5qEIJgAAAAJ;pqe3-BMAAAAJ;xdQSx54AAAAJ,W Wang;L Chen;Z Zhang,"/scholar?cites=3800640236570612044&as_sdt=2005&sciodt=0,5&hl=en"
A multi-attribute decision making approach to congestion control in delay tolerant networks,Ib-sizwAAAAJ;WhB_EWgAAAAJ,S Guo;D Zeng,"/scholar?cites=17464243403719472601&as_sdt=2005&sciodt=0,5&hl=en"
An eco-friendly routing protocol for delay tolerant networks,V4FRuiMAAAAJ;ttUIYysAAAAJ,T Abdelkader;A Nayak,"/scholar?cites=13710754536183959747&as_sdt=2005&sciodt=0,5&hl=en"
Delay modeling for broadcast-based two-hop relay manets,iebhNbEAAAAJ,J Gao,"/scholar?cites=12016190136049153891&as_sdt=2005&sciodt=0,5&hl=en"
[PDF] [PDF]   Performance comparison of RAPID; epidemic and prophet routing protocols for delay tolerant networks,S2tBrxcAAAAJ,AL Sangal,"/scholar?cites=14699150137595678993&as_sdt=2005&sciodt=0,5&hl=en"
DTN routing using explicit and probabilistic routing table states,RJCmtBcAAAAJ;-d9T2PMAAAAJ,S Kalyanaraman;AA Abouzeid,"/scholar?cites=2467084137810849315&as_sdt=2005&sciodt=0,5&hl=en"
Wireless mobile DTN routing with the extended minimum estimated expected delay protocol,LyiVPKEAAAAJ,S Toumpis,"/scholar?cites=8228223320158932590&as_sdt=2005&sciodt=0,5&hl=en"
DTIPN: Delay tolerant IP networking for opportunistic network applications,,,"/scholar?cites=3856132700992923217&as_sdt=2005&sciodt=0,5&hl=en"
Security in delay tolerant networks,_5lzNDUAAAAJ,H Zhu,"/scholar?cites=15689504927126241026&as_sdt=2005&sciodt=0,5&hl=en"
Situation awareness and computational intelligence in opportunistic networks to support the data transmission of urban sensing applications,t2HEVZ8AAAAJ;M40E5QEAAAAJ;JsOq45sAAAAJ;GRMYOHIAAAAJ,CO Rolim;AG Rossetto;VRQ Leithardt;GA Borges,"/scholar?cites=5928093811735080485&as_sdt=2005&sciodt=0,5&hl=en"
[PDF] [PDF]   Ensuring privacy in opportunistic network,,,"/scholar?cites=13654386918237040129&as_sdt=2005&sciodt=0,5&hl=en"
Lower bound for node buffer size in intermittently connected wireless networks,CT5yZbwAAAAJ;KzRHnx0AAAAJ,X Wang;Y Xu,"/scholar?cites=3641242800642133883&as_sdt=2005&sciodt=0,5&hl=en"
DTN 技術の現状と展望,,,"/scholar?cites=4732694630957071088&as_sdt=2005&sciodt=0,5&hl=en"
An efficient; scalable key transport scheme (ESKTS) for delay/disruption tolerant networks,o6UcmosAAAAJ;sx_8BTcAAAAJ;X0hu8rIAAAAJ,MNM Bhutta;HS Cruickshank;Z Sun,"/scholar?cites=16410244395151199034&as_sdt=2005&sciodt=0,5&hl=en"
[BOOK] [B]   Security assessment in vehicular networks,_5lzNDUAAAAJ,H Zhu,"/scholar?cites=11232274042893995887&as_sdt=2005&sciodt=0,5&hl=en"
Spray and hop: Efficient utility-mobility routing for intermittently connected mobile networks,cgG0gJYAAAAJ,WK Lai,"/scholar?cites=3612670634841151858&as_sdt=2005&sciodt=0,5&hl=en"
Delay-constrained single-copy multi-path data transmission in mobile opportunistic networks,rFLksrwAAAAJ,H Wu,"/scholar?cites=6427885624349013951&as_sdt=2005&sciodt=0,5&hl=en"
A new data transmission strategy in mobile d2d networks—deterministic; greedy; or planned opportunistic routing?,rFLksrwAAAAJ,H Wu,"/scholar?cites=11245070843106387032&as_sdt=2005&sciodt=0,5&hl=en"
Mind the smartgap: A buffer management algorithm for delay tolerant wireless sensor networks,FBRilgEAAAAJ;e6Pfj8AAAAAJ;kCOZ2QkAAAAJ,P Söderman;KJ Grinnemo;M Hidell,"/scholar?cites=4023506398091330154&as_sdt=2005&sciodt=0,5&hl=en"
A trajectory-based approach to improve delivery in drive-thru internet scenarios,,,"/scholar?cites=4642799205740134105&as_sdt=2005&sciodt=0,5&hl=en"
BBA: An efficient batch bundle authentication scheme for delay tolerant networks,_5lzNDUAAAAJ;om3xUIcAAAAJ;DeBXK0UAAAAJ;Bjl3GwoAAAAJ,H Zhu;X Lin;R Lu;X Shen,"/scholar?cites=10722759630173467596&as_sdt=2005&sciodt=0,5&hl=en"
Optimal opportunistic forwarding policies for energy-constrained delay tolerant networks,kmgzPeQAAAAJ;10HcE2QAAAAJ,Y Li;Y Jiang,"/scholar?cites=3044444504037026732&as_sdt=2005&sciodt=0,5&hl=en"
Community-based immunization in opportunistic social networks,GO4IiaQAAAAJ;jnBRjhcAAAAJ,P Yuan;S Tang,"/scholar?cites=8820923720416425170&as_sdt=2005&sciodt=0,5&hl=en"
Probabilistic routing based on two-hop information in delay/disruption tolerant networks,kZflYeYAAAAJ,R He,"/scholar?cites=14987513463549302382&as_sdt=2005&sciodt=0,5&hl=en"
Multi-Spreader Routing for sparsely populated mobile ad hoc networks,OUTgeB0AAAAJ,T Takine,"/scholar?cites=17984143507912881763&as_sdt=2005&sciodt=0,5&hl=en"
Evaluating the impact of data transfer time in contact-based messaging applications,W8DXL1YAAAAJ;Kqv6nNoAAAAJ,E Hernández-Orallo;J Herrera-Tapia,"/scholar?cites=2416829235604410415&as_sdt=2005&sciodt=0,5&hl=en"
Routing in intermittent networks using storage domains,,,"/scholar?cites=1350291227502097291&as_sdt=2005&sciodt=0,5&hl=en"
Performance modeling for two-hop relay with erasure coding in manets,eBl025kAAAAJ;phdy0Y0AAAAJ,J Liu;H Nishiyama,"/scholar?cites=7212914023276113483&as_sdt=2005&sciodt=0,5&hl=en"
Path-based epidemic spreading in networks,pwvmL7EAAAAJ;OuIZM_0AAAAJ,WK Chai;G Pavlou,"/scholar?cites=14466526367982422078&as_sdt=2005&sciodt=0,5&hl=en"
Bundle layer end-to-end retransmission mechanism,hAdGZkEAAAAJ,F Tsapeli,"/scholar?cites=10977223692108797596&as_sdt=2005&sciodt=0,5&hl=en"
Content synchronization using device-to-device communication in smart cities,akJJCpEAAAAJ,X Chen,"/scholar?cites=830347384129004654&as_sdt=2005&sciodt=0,5&hl=en"
Message redundancy removal of multi-copy routing in delay tolerant MANET,,,"/scholar?cites=17537261289599746805&as_sdt=2005&sciodt=0,5&hl=en"
Inter-session network coding-based policies for delay tolerant mobile social networks,UgETq_UAAAAJ;M_gMChEAAAAJ,N Shrestha;L Sassatelli,"/scholar?cites=3535459182225852825&as_sdt=2005&sciodt=0,5&hl=en"
Remaining Delivery Time Estimation Based Routing for Intermittently Connected Mobile Networks,1BrbQPwAAAAJ,M Li,"/scholar?cites=7898171736263914256&as_sdt=2005&sciodt=0,5&hl=en"
On optimality of routing policies in delay-tolerant mobile social networks,UgETq_UAAAAJ;M_gMChEAAAAJ,N Shrestha;L Sassatelli,"/scholar?cites=7340680140817308880&as_sdt=2005&sciodt=0,5&hl=en"
On the performance of two-hop message spreading in DTNs,-zUrP8kAAAAJ;Dh6B_hQAAAAJ,A Vaios;I Stavrakakis,"/scholar?cites=8435418238922392190&as_sdt=2005&sciodt=0,5&hl=en"
Analytical evaluation of the performance of contact-based messaging applications,W8DXL1YAAAAJ;RK2NmhMAAAAJ,E Hernández-Orallo;CT Calafate,"/scholar?cites=15607882090073270023&as_sdt=2005&sciodt=0,5&hl=en"
