Title,Authors,Conference,Cited_urls,Cited_count,Year
An optical booster for internet routers,"J Bannister, J Touch, P Kamath, A Patel","International Conference on High-Performance Computing, 399-413",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=6625197465711120178,25,2001
3-D optical interconnection networks,AA Sawchuk,"Optics and the Information Age 813, 547-548",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=11409064798983070592,25,1987
Block‐cyclic redistribution over heterogeneous networks,"PB Bhat, VK Prasanna, CS Raghavendra","Cluster Computing 3 (1), 25-34",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=13201731713753689852,24,2000
Support for multiway communications in ATM networks,"R Venkateswarau, CS Raghavendra, X Chen, VP Kumar",1998 IEEE ATM Workshop Proceedings.'Meeting the Challenges of Deploying the …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=12761164035879367124,24,1998
A model for optimal database allocation in distributed computing systems,"GM Chiu, CS Raghavendra",Proceedings. IEEE INFOCOM'90: Ninth Annual Joint Conference of the IEEE …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=17689454823655834115,24,1990
Fault tolerance in linear systolic arrays using time redundancy,"A Majumdar, CS Raghavendra, MA Breuer","IEEE Transactions on Computers 39 (2), 269-276",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=15525654619861556629,24,1990
Dccast: Efficient point to multipoint transfers across datacenters,"M Noormohammadpour, CS Raghavendra, S Rao, S Kandula",9th {USENIX} Workshop on Hot Topics in Cloud Computing (HotCloud 17),https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=12805325126693163128,23,2017
Hierarchical multicast routing in ATM networks,"R Venkateswaran, CS Raghavendra, X Chen, VP Kumar",Proceedings of ICC/SUPERCOMM'96-International Conference on Communications 3 …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=15412244509299112993,23,1996
On Methods for Fast and Efficient Parallel Memory Access.,"CS Raghavendra, RV Boppana","ICPP (1), 76-83",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=11595142386967047964,23,1990
Energy efficient all-to-all broadcasting for situation awareness in wireless ad hoc networks,"S Lindsey, CS Raghavendra","journal of parallel and distributed Computing 63 (1), 15-21",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=15670261383098550608,21,2003
A model for optimal resource allocation in distributed computing systems,"GM Chiu, CS Raghavendra","IEEE INFOCOM'88, Seventh Annual Joint Conference of the IEEE Computer and …",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=3975373482811356784,21,1988
Parallelizing sequential programs by algorithm-level transformations,"S Bhansali, JR Hagemeister, CS Raghavendra, H Sivaraman","Proceedings 1994 IEEE 3rd Workshop on Program Comprehension-WPC'94, 100-107",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=11963189960467635410,20,1994
Cooperative genetic algorithm for optimization problems in distributed computer systems,"R Venkateswaran, Z Obradovic, CS Raghavendra",In WEC2 [586,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=7618325053144548226,20,1993
On permutations passable by the gamma network,"A Varma, CS Raghavendra","Journal of Parallel and Distributed Computing 3 (1), 72-91",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=15312025475026134257,20,1986
Multi-connected loop topologies for local computer networks,"CS Raghavendra, M Gerla, DS Parker","INFOCOM'82 Conf. Proc., 184-190",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=7355271891554907421,20,1982
On the rearrangeability conjecture of (2 log_2 N-1)-stage shuffle/exchange network,CS Raghavendra,"Computer Architecture Technical Committee Newsletter, 10-12",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=2104817281105823154,19,1995
Catalina: A Smart Application Control and Management Environement,"S Hariri, M Djunaedi, Y Kim, RP Nellipudi, AK Rajagopalan, P Vadlamani, ...","Active Middleware Services, 43-55","https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=6450966444636156839,7492899843475958417",18,2000
Generalized schemes for access and alignment of data in parallel processors with self-routing interconnection networks,"RV Boppana, CS Raghavendra","Journal of Parallel and Distributed Computing 11 (2), 97-111",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=14713426964165208735,18,1991
Fault-tolerant routing in MIN-based supercomputers,"S Chalasani, A Varma, CS Raghavendra","Proceedings of the 1990 ACM/IEEE conference on Supercomputing, 244-253",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=9914876913362642351,18,1990
Resource allocation in hypercube systems,"GM Chiu, CS Raghavendra","Proceedings of the Fifth Distributed Memory Computing Conference, 1990. 2 …",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=5506349818597093200,18,1990
Image processing on enhanced mesh connected computers,"VKP Kumar, CS Raghavendra",Computer Architecture for Pattern Analysis and Image Database Management …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=13331867524891518349,18,1985
Embedding and reconfiguration of binary trees in faulty hypercubes,"PJ Yang, CS Raghavendra","IEEE transactions on parallel and distributed systems 7 (3), 237-245",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=17796488238324185191,17,1996
Single and multiple frame video traffic prediction using neural network models,"R Drossu, TV Lakshman, Z Obradovic, C Raghavendra","Computer Networks, Architecture and Applications, 146-158",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=3015619432676905946,17,1995
Image composition methods for sort-last polygon rendering on 2-D mesh architectures,"TY Lee, CS Raghavendra, JN Nicholas","Proceedings of the 1995 Parallel Rendering Symposium, 55-62",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=11370510934221497844,17,1995
An analysis of the join the shortest queue (JSQ) policy,"HC Lin, CS Raghavendra",[1992] Proceedings of the 12th International Conference on Distributed …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=6951736613836507755,17,1992
Reliability Analysis of an Interconnection Network.,"CS Raghavendra, DS Parker Jr","ICDCS, 461-471",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=805643340626246502,17,1984
Analysis and Simulation of a Class of double Loop Network Architectures.,"JA Silvester, CS Raghavendra","INFOCOM 84, 30-35",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=17945869355415575596,17,1984
QuickCast: Fast and efficient inter-datacenter transfers using forwarding tree cohorts,"M Noormohammadpour, CS Raghavendra, S Kandula, S Rao","IEEE INFOCOM 2018-IEEE Conference on Computer Communications, 225-233",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=11309767413148593270,16,2018
Run-time adaptation for grid environments,"AH Alhusaini, CS Raghavendra, VK Prasanna","null, 20087a",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=16403842970413016694,16,2001
Resource allocation with load balancing consideration in distributed computing systems,"GM Chiu, CS Raghavendra, SM Ng","IEEE INFOCOM'89, Proceedings of the Eighth Annual Joint Conference of the …",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=9275188895579700630,16,1989
Dcroute: Speeding up inter-datacenter traffic allocation while guaranteeing deadlines,"M Noormohammadpour, CS Raghavendra, S Rao",2016 IEEE 23rd International Conference on High Performance Computing (HiPC …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=12448128923489858097,15,2016
XVR: X visiting-pattern routing for sensor networks,"Y He, CS Raghavendra",Proceedings IEEE 24th Annual Joint Conference of the IEEE Computer and …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=4912851743729791088,15,2005
