Title,Authors,Conference,Cited_urls,Cited_count,Year
Functional SPECT neuroimaging using machine learning algorithms distinguishes autism spectrum disorder from healthy subjects,"DG Amen, MS Sarabi, K Willeumier, D Taylor, C Raji, S Meysami, ...",,,,
On Self-Routing in Benes and Shufﬂe-Exchange Networks,"CS Raghavendra, RV Boppana",,,,
Scholarships and Honors,CS RAGHAVENDRA,,,,
Notes on Paper “Efficient Multi-party Digital Signature using Adaptive Secret Sharing for Low-Power Devices in Wireless Networks”,"C Tang, DO Wu, AT Chronopoulos, CS Raghavendra",,,,
William J Leinberger Tim Levin Wei-Keng Liao Jorg Liebeherr,"HC Lin, T Braun, R Buyya, H Casanova, C Cavanaugh, F Chang, ...",,,,
Program Committee Chair,"W Johnston, H Simon, K Freeman, J Weissman, J Bashor, PA Baltes, ...",,,,
2 Preliminaries,"RV Boppana, CS Raghavendra",,,,
List of Participants and Observers,"S Agarwal, K Claffy, C Colbourn, P Cox, S Floyd, R Fujimoto, S Ghosh, ...",,,,
"Department of Computer Science University of Southern California 941 W. 37th Place Los Angeles, CA 90089-0781","Y He, CS Raghavendra",,,,
Symposium Steering Committee,"S Hariri, T Agerwala, AS Grimshaw, D McAuliffe, CS Raghavendra",,,,
FADA: A False Alarm Detection Algorithm for Wireless Microsensor Networks,"C Tang, CS Raghavendra, VK Prasanna",,,,
Message from the ISPA 2011 General Chairs,"JJJH Park, CS Raghavendra, Z Xu",,,,
GoFFish: A Framework for Distributed Analytics over Timeseries Graphs,"Y Simmhan, A Kumbhare, C Wickramaarachchi, N Ma, S Nagarkar, ...",,,,
"3rd International Workshop on Wireless, Mobile and Ad Hoc Networks (WMAN)","CM Pinotti, CS Raghavendra",,,,
Embedding and Reconﬁguration of Binary Trees in Faulty Hypercubes,CS Raghavendra,,,,
"Peter Reiher, UCLA","CS Raghavendra, V Bharghavan, S Hariri, C Polychronopoulos, C Lee, ...",,,,
XVR: X Visiting-pattern Routing for Sensor Networks,CS Raghavendra,,,,
Subject Area Editors,"DP Agrawal, I Ahmad, D Bader, A Boukerche, S Das, E Dekel, ...",,,,
"Feng, TY, 175","SA Fineberg, PJ Bernhard, DP Bertsekas, RV Boppana, DM Campbell, ...",,,,
Symposium Steering Committee,"S alim Hariri, CS Raghavendra",,,,
General Co-Chairs,"S Hariri, E Benkhelifa, Y Jararweh, CG Guegan, N Mansour, S Hassas, ...",,,,
Energy Efficient Collaborative and Distributed Computation in Mesh-like Sensor Arrays Ѓ,"M Singh, VK Prasanna, J Rolim, CS Raghavendra",,,,
SUBJECT INDEX A,"A Radulescu, C Raghavendra, N Ramasubramanian, D Ranjan, ...",,,,
A Token-based Greedy Chain Scheduling Algorithm (T-GCSA) for Situation Aware Wireless LANs1=,C Raghavendra,,,,
HPCA 1996 Chairs and Committees,"M Dubois, S Adve, JL Baer, A Choudhary, D Culler, C Das, A Gupta, ...",,,,
WSNA 2003,"K Sivalingam, CS Raghavendra",ACM press,,,
Algorithms & Applications,"G Bilardi, J Cuny, S Das, F Dehne, I Glendinning, A Grama, J Reif, ...",,,,
E cient Algorithms for Block-Cyclic Array Redistribution between Processor Sets,"N Park, VK Prasanna, C Raghavendra",,,,
Session 6C-Distributed Shared Memory,CS Raghavendra,,,,
"Tenth Heterogeneous Computing Workshop HCW 2001 Monday, April 23, 2001 JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ","B Shirazi, S Hariri, HJ Siegel, F Berman, J Dongarra, RF Freund, ...",,,,
Reconﬁguration of Binary Trees in Faulty Hypercubes,"PJ Yangl, CS Raghavendra",,,,
