Title,Authors,Conference,Cited_url,Cited_count,Year
Opportunistic routing,T Spyropoulos; A Picu,Mobile Ad Hoc Networking: Cutting Edge Directions; 419-452,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=12540339978349734482,13,2013
Quality of experience-aware mobile edge caching through a vehicular cloud,L Vigneri; T Spyropoulos; C Barakat,IEEE Transactions on Mobile Computing,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=16992505436740756903,12,2019
Soft cache hits: Improving performance through recommendation and delivery of related content,P Sermpezis; T Giannakas; T Spyropoulos; L Vigneri,IEEE Journal on Selected Areas in Communications 36 (6); 1300-1313,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=3421855325126528006,12,2018
Radio access network resource slicing for flexible service execution,CY Chang; N Nikaein; T Spyropoulos,IEEE INFOCOM 2018-IEEE Conference on Computer Communications Workshops …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=7248395202764055471,12,2018
Soft cache hits and the impact of alternative content recommendations on mobile edge caching,T Spyropoulos; P Sermpezis,Proceedings of the eleventh ACM workshop on challenged networks; 51-56,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=15058301099647293072,12,2016
Streaming content from a vehicular cloud,L Vigneri; T Spyropoulos; C Barakat,Proceedings of the Eleventh ACM Workshop on Challenged Networks; 39-44,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=13038640454015632971,12,2016
Interference in wireless multihop networks: A model and its experimental evaluation,G Parissidis; M Karaliopoulos; M May; T Spyropoulos; B Plattner,2008 International Symposium on a World of Wireless; Mobile and Multimedia …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=12072516819529571334,12,2008
Femto-caching with soft cache hits: Improving performance with related content recommendation,P Sermpezis; T Spyropoulos; L Vigneri; T Giannakas,GLOBECOM 2017-2017 IEEE Global Communications Conference; 1-7,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=2925463141140765797,11,2017
Using public transportation as a dtn backbone: Mobility properties and performance analysis,L Den Hartog; T Spyropoulos; F Legendre,AOC 2010-4th IEEE WoWMoM Workshop on Autonomic and Opportunistic …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=2348331378482970094,11,2010
Offloading on the edge: Performance and cost analysis of local data storage and offloading in HetNets,P Sermpezis; T Spyropoulos,2017 13th Annual Conference on Wireless On-demand Network Systems and …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=5750089970610476713,9,2017
Load-aware handover decision algorithm in next-generation HetNets,K Alexandris; N Sapountzis; N Nikaein; T Spyropoulos,2016 IEEE Wireless Communications and Networking Conference; 1-6,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=3894951270459449193,9,2016
Who interrupted me? Analyzing the effect of PU activity on cognitive user performance,F Mehmeti; T Spyropoulos,2013 IEEE International Conference on Communications (ICC); 2874-2879,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=15662052027965920050,9,2013
ADAPT: a media access control protocol for mobile ad hoc networks using adaptive array antennas,T Spyropoulos; CS Raghavendra,2004 IEEE 15th International Symposium on Personal; Indoor and Mobile Radio …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=13660478215229257209,9,2004
Show me the cache: Optimizing cache-friendly recommendations for sequential content access,T Giannakas; P Sermpezis; T Spyropoulos,"2018 IEEE 19th International Symposium on"" A World of Wireless; Mobile and …",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=1827796816045398246,8,2018
Joint optimization of user association and dynamic TDD for ultra-dense networks,N Sapountzis; T Spyropoulos; N Nikaein; U Salim,IEEE INFOCOM 2018-IEEE Conference on Computer Communications; 2681-2689,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=6737886801681199898,8,2018
Delay analysis of epidemic schemes in sparse and dense heterogeneous contact networks,P Sermpezis; T Spyropoulos,IEEE Transactions on Mobile Computing 16 (9); 2464-2477,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=10738223875516124491,8,2016
Offloading on the edge: Analysis and optimization of local data storage and offloading in HetNets,P Sermpezis; L Vigneri; T Spyropoulos,arXiv preprint arXiv:1503.00648,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=8271564638522954585,8,2015
Flow-level characteristics of spam and ham,D Schatzmann; M Burkhart; T Spyropoulos,arXiv preprint arXiv:0808.4104,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=3975720917406049105,8,2008
User association in hetnets: Impact of traffic differentiation and backhaul limitations,N Sapountzis; T Spyropoulos; N Nikaein; U Salim,IEEE/ACM Transactions on Networking (TON) 25 (6); 3396-3410,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=6463869343330260395,7,2017
Per-chunk caching for video streaming from a vehicular cloud,L Vigneri; S Pecoraro; T Spyropoulos; C Barakat,Proceedings of the 12th Workshop on Challenged Networks; 57-62,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=11735517112873724222,7,2017
Optimal cache allocation for femto helpers with joint transmission capabilities,A Tuholukova; G Neglia; T Spyropoulos,2017 IEEE International Conference on Communications (ICC); 1-7,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=6152532121980555386,7,2017
