id,name,affiliation,sampled_type,pubs_count,est_cits,journal_pubs_count,conference_pubs_count,nontech_pubs_count,journal_est_cits,conference_est_cits,nontech_est_cits,org_h_index,tech_h_index
2488945074,Catriona Farquhar,University of Birmingham,europe_randoms,1,3,1,0,0,3,0,0,1,1
2565697258,Kirsi Hyva¨rinen,University of Helsinki,europe_randoms,1,6,1,0,0,6,0,0,1,1
2786823094,Victor Ghetie,Uppsala University,europe_randoms,1,147,1,0,0,147,0,0,1,1
2799631331,Visakh V. S. Pillai,University College Dublin,europe_randoms,1,6,1,0,0,6,0,0,1,1
2598297874,Ruth. C. Vukovich,Ludwig Maximilian University of Munich,europe_randoms,2,16,2,0,0,16,0,0,1,1
2028180229,François A. Lavergne,University of Oxford,europe_randoms,7,35,7,0,0,35,0,0,4,4
2122653666,Sinead Morrison,Cardiff University,europe_randoms,10,150,8,0,0,150,0,0,4,4
2555438571,RHJ|info:eu-repo Houwen,Utrecht University,europe_randoms,1,0,0,0,0,0,0,0,0,0
2111084056,Muhammed Kamal Uddin,University College London,europe_randoms,11,144,4,0,0,127,0,0,6,6
1517296393,G. Verhegghe,Ghent University,europe_randoms,2,4,2,0,0,4,0,0,1,1
2796092160,Michael Barter,Cardiff University,europe_randoms,6,1,3,0,0,1,0,0,1,1
2884130192,M Bergmann,University of Göttingen,europe_randoms,2,0,0,0,0,0,0,0,0,0
2122397597,Adam Fox,University of Edinburgh,europe_randoms,34,960,17,0,0,581,0,0,10,10
2121859064,Fabian Keller,University of Bern,europe_randoms,2,4,1,0,0,4,0,0,1,1
2309043026,H. Jaksche,Technische Universität München,europe_randoms,4,37,4,0,0,37,0,0,2,2
2475341935,Sarah L. Mason,University of Sheffield,europe_randoms,6,334,6,0,0,334,0,0,3,3
2131289960,B. E. Sheffy,Ludwig Maximilian University of Munich,europe_randoms,4,103,3,0,0,103,0,0,3,3
2745875289,Katrine Lindvig,University of Copenhagen,europe_randoms,7,19,4,1,0,16,0,0,3,3
2427230899,Izarra Rodríguez Bilbao,Complutense University of Madrid,europe_randoms,2,0,0,0,0,0,0,0,0,0
2924579178,Franziska Glüer,ETH Zurich,europe_randoms,2,0,1,0,0,0,0,0,0,0
